x,y,z
-30.071337,-25.026117,-498.467072
-48.079254,-25.102797,-497.049561
-66.136864,-25.205397,-494.965240
-84.218903,-25.245922,-492.209106
-102.154076,-25.387270,-488.794434
-120.232635,-25.410194,-484.663208
-138.338715,-25.231771,-479.818481
132.601349,-25.052416,-481.444977
114.481247,-25.589474,-486.044464
96.500725,-26.050072,-489.907166
78.475769,-26.306257,-493.101929
60.423584,-26.804476,-495.611267
42.517151,-27.095579,-497.451630
24.320271,-27.396877,-498.656158
6.152108,-27.645086,-499.197266
-12.687204,-27.315983,-499.092041
-30.071337,-28.084179,-498.304138
-48.079254,-28.152164,-496.886169
-66.136864,-28.241972,-494.801270
-84.218903,-28.265583,-492.044922
-102.154076,-28.385979,-488.629517
-120.232635,-28.383554,-484.498199
-138.338715,-28.175406,-479.654663
132.601349,-28.006037,-481.282196
114.481247,-28.571306,-485.878296
96.500725,-29.055595,-489.738098
78.475769,-29.331379,-492.931244
60.423584,-29.844984,-495.437469
42.517151,-30.147375,-497.276001
24.320271,-30.456060,-498.478668
6.152108,-30.707582,-499.018219
-12.687204,-30.377840,-498.915039
-30.071337,-31.141188,-498.122437
-48.079254,-31.200472,-496.704010
-66.136864,-31.277481,-494.618652
-84.218903,-31.284185,-491.862244
-102.154076,-31.383621,-488.446106
-120.232635,-31.355848,-484.314911
-138.338715,-31.117985,-479.472748
132.601349,-30.958599,-481.101318
114.481247,-31.552057,-485.693817
96.500725,-32.060024,-489.550598
78.475769,-32.355396,-492.742004
60.423584,-32.884365,-495.245026
42.517151,-33.198032,-497.081665
24.320271,-33.514095,-498.282379
6.152108,-33.768921,-498.820435
-12.687204,-33.438557,-498.719238
-30.071337,-34.197025,-497.921936
-48.079254,-34.247604,-496.503265
-66.136864,-34.311817,-494.417450
-84.218903,-34.301601,-491.661041
-102.154076,-34.380074,-488.244354
-120.232635,-34.326958,-484.113403
-138.338715,-34.059383,-479.272766
132.601349,-33.910000,-480.902283
114.481247,-34.531628,-485.491089
96.500725,-35.063248,-489.344666
78.475769,-35.378193,-492.534180
60.423584,-35.922512,-495.033905
42.517151,-36.247448,-496.868622
24.320271,-36.570866,-498.067352
6.152108,-36.828987,-498.603821
-12.687204,-36.498005,-498.504700
-30.071337,-37.251572,-497.702789
-48.079254,-37.293446,-496.283813
-66.136864,-37.344864,-494.197601
-84.218903,-37.317734,-491.441315
-102.154076,-37.375237,-488.024200
-120.232635,-37.296776,-483.893646
-138.338715,-36.999504,-479.054749
132.601349,-36.860119,-480.685150
114.481247,-37.509892,-485.270050
96.500725,-38.065151,-489.120300
78.475769,-38.399658,-492.307831
60.423584,-38.959312,-494.804138
42.517151,-39.295494,-496.636841
24.320271,-39.626259,-497.833618
6.152108,-39.887672,-498.368469
-12.687204,-39.556087,-498.271362
-30.071337,-40.304714,-497.464813
-48.079254,-40.337879,-496.045624
-66.136864,-40.376495,-493.959167
-84.218903,-40.332462,-491.203094
-102.154076,-40.368999,-487.785706
-120.232635,-40.265186,-483.655701
-138.338715,-39.938236,-478.818695
132.601349,-39.808853,-480.449951
114.481247,-40.486748,-485.030792
96.500725,-41.065617,-488.877533
78.475769,-41.419685,-492.062958
60.423584,-41.994637,-494.555786
42.517151,-42.342056,-496.386383
24.320271,-42.680161,-497.581085
6.152108,-42.944855,-498.114319
-12.687204,-42.612682,-498.019287
-30.071337,-43.356346,-497.208130
-48.079254,-43.380798,-495.788757
-66.136864,-43.406612,-493.702087
-84.218903,-43.345665,-490.946381
-102.154076,-43.361233,-487.528809
-120.232635,-43.232086,-483.399536
-138.338715,-42.875458,-478.564667
132.601349,-42.756092,-480.196625
114.481247,-43.462082,-484.773224
96.500725,-44.064541,-488.616333
78.475769,-44.438141,-491.799530
60.423584,-45.028385,-494.288849
42.517151,-45.387032,-496.117218
24.320271,-45.732460,-497.309845
6.152108,-46.000416,-497.841461
-12.687204,-45.667664,-497.748444
-30.071337,-46.406345,-496.932739
-48.079254,-46.422089,-495.513245
-66.136864,-46.435097,-493.426483
-84.218903,-46.357239,-490.671143
-102.154076,-46.351841,-487.253571
-120.232635,-46.197353,-483.125153
-138.338715,-45.811069,-478.292542
132.601349,-45.701721,-479.925232
114.481247,-46.435776,-484.497437
96.500725,-47.061810,-488.336761
78.475769,-47.454933,-491.517609
60.423584,-48.060436,-494.003235
42.517151,-48.430294,-495.829376
24.320271,-48.783035,-497.019836
6.152108,-49.054253,-497.549835
-12.687204,-48.720932,-497.458832
-30.071337,-49.454590,-496.638672
